index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria;D_3__OPB56;D_4__uncultured bacterium,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,18,15,20,0,18,15,23,22,17,6,26,34,34,30,16,0,0,23,32,20,29,24,30,36,23,27,29,31,49,34,20,18,26,18,51,24,19,15,23,34,29,13,11,23,30,31,59,35,18,19,36,50,11,26,14,12,17,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Spirosomaceae,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Methylococcales;D_4__Methylomonaceae,0,0,0,0,56,22,119,0,124,39,77,197,41,106,0,0,0,10,9,7,13,0,20,17,0,0,0,10,8,17,18,24,22,15,14,11,0,23,26,23,25,12,28,11,16,21,3,18,15,19,11,0,0,19,45,5,12,0,19,20,35,0,17,0,44,37,23,9,13,5,28,0,0,3,15,17,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae,0,34,0,0,0,0,11,30,28,8,17,44,0,0,0,0,0,8,0,0,0,19,0,0,0,13,0,0,4,0,0,17,6,0,0,15,16,0,12,0,8,0,10,0,15,0,28,0,15,0,0,0,0,17,20,0,22,14,11,18,11,19,0,15,0,31,0,0,0,0,0,6,0,0,2,0,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Pedosphaerales;D_4__Pedosphaeraceae,0,0,0,0,101,0,0,7,0,33,25,106,3,66,0,0,11,16,0,18,0,15,10,13,7,17,0,11,0,23,28,25,0,0,18,7,26,21,8,18,0,10,19,0,17,0,12,28,26,15,0,0,0,39,22,0,0,0,42,44,0,0,29,5,33,72,22,0,18,46,46,31,35,0,3,12,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Peptostreptococcaceae,0,0,0,0,0,190,169,34,0,45,0,52,120,64,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,10,9,0,0,0,0,0,9,0,0,9,0,11,0,9,0,13,9,0,13,0,0,27,0,0,9,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales;D_4__Anaerolineaceae,0,0,0,0,52,7,0,34,10,31,44,268,57,258,0,0,0,0,0,0,0,3,7,4,0,0,0,0,0,7,0,0,0,0,0,0,9,5,9,7,0,0,11,10,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B);D_4__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,20,14,14,7,26,30,17,0,23,16,0,0,0,16,29,16,0,18,30,39,0,33,20,16,2,28,18,12,26,32,37,15,34,21,0,53,0,0,27,0,31,39,0,23,26,23,26,51,26,17,0,0,0,11,30,0,13,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Xanthomonadales;D_4__Xanthomonadaceae,0,18,0,0,4,0,0,0,2,0,5,0,0,11,0,0,30,32,40,0,0,20,0,104,115,0,14,11,46,18,16,20,11,0,0,23,13,11,14,10,30,17,12,13,0,78,31,20,11,0,59,22,24,15,14,24,57,35,26,9,0,26,0,25,24,9,33,23,20,0,8,31,30,11,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidetes vadinHA17,0,0,0,0,117,0,112,8,89,39,32,191,42,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
